/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
   3278-   4871 MAP_121      AP-H201-X201    23718        1 [  -255.855527,    99.268341 ] [  -180.432546,   284.176717 ]         59.1         59.0        0
   4884-   5841 MAP_121      AP-H201-X201    23718        1 [  -327.224270,   -21.879879 ] [  -118.530541,   322.006403 ]         59.0         59.6        0
   5854-   7449 MAP_121      AP-H201-X201    23719        1 [  -329.311330,   137.114818 ] [  -325.044738,    27.384836 ]        147.8        148.5        0
   7462-   9063 MAP_121      AP-H201-X201    23719        1 [  -258.824755,   210.671377 ] [  -215.698873,   142.084889 ]        147.8        148.1        0
   9076-  10675 MAP_121      AP-H201-X201    23719        1 [  -184.991741,   283.564209 ] [   -98.146525,   256.729602 ]        147.9        150.4        0
  10688-  11643 MAP_121      AP-H201-X201    23719        1 [  -109.201490,   329.782333 ] [    15.416296,   323.014539 ]        147.7        146.6        0
  11686-  13283 MAP_122      AP-H201-X201    23724        1 [   -24.008020,   335.288973 ] [  -325.319872,   144.422302 ]         59.1         58.1        0
  13296-  14895 MAP_122      AP-H201-X201    23724        1 [  -142.307664,   208.150412 ] [  -260.116837,   213.590250 ]         59.0         58.9        0
  14908-  16505 MAP_122      AP-H201-X201    23724        1 [  -253.178963,   101.345190 ] [  -187.653982,   287.300968 ]         59.0         59.6        0
  16518-  17477 MAP_122      AP-H201-X201    23724        1 [  -328.752058,   -20.908530 ] [  -117.453298,   326.280175 ]         59.2         61.4        0
  17490-  19089 MAP_122      AP-H201-X201    23725        1 [  -330.755579,   143.986538 ] [  -324.287147,    28.800171 ]        147.7        151.0        0
  19102-  20699 MAP_122      AP-H201-X201    23725        1 [  -255.369204,   218.884764 ] [  -214.941283,   135.963796 ]        147.8        150.9        0
  20712-  22307 MAP_122      AP-H201-X201    23725        1 [  -192.194688,   283.817948 ] [   -98.267985,   258.372385 ]        147.7        144.4        0
  22320-  23275 MAP_122      AP-H201-X201    23725        1 [  -116.458501,   326.756461 ] [    15.620638,   323.821307 ]        147.7        150.9        0
  23322-  24921 MAP_122      AP-H201-X201    23751        1 [   -26.701660,   330.672520 ] [  -321.324211,   147.452857 ]         59.1         59.8        0
  24934-  26529 MAP_122      AP-H201-X201    23751        1 [  -142.568522,   207.723448 ] [  -259.532856,   212.170254 ]         59.0         58.0        0
  26542-  28141 MAP_122      AP-H201-X201    23751        1 [  -256.652210,   101.606445 ] [  -185.926627,   288.960704 ]         58.9         60.5        0
  28154-  29109 MAP_122      AP-H201-X201    23751        1 [  -325.799087,   -19.255211 ] [  -114.262916,   324.706499 ]         59.3         66.5        0
  29122-  30713 MAP_122      AP-H201-X201    23752        1 [  -329.537887,   139.645003 ] [  -324.158057,    25.671261 ]        147.6        144.3        0
  30726-  32325 MAP_122      AP-H201-X201    23752        1 [  -254.144645,   215.669074 ] [  -213.797909,   138.742317 ]        147.7        150.2        0
  32338-  33931 MAP_122      AP-H201-X201    23752        1 [  -190.628576,   283.738299 ] [   -98.710582,   259.300608 ]        147.7        148.2        0
  33944-  34903 MAP_122      AP-H201-X201    23752        1 [  -116.023468,   327.885619 ] [    15.356310,   322.966850 ]        147.6        143.8        0
  34946-  36549 MAP_123      AP-H201-X201    23757        1 [   -25.605741,   330.168020 ] [  -327.735542,   149.622964 ]         59.1         57.6        0
  36562-  38159 MAP_123      AP-H201-X201    23757        1 [  -142.447356,   211.634705 ] [  -262.692333,   210.768867 ]         59.3         51.9        0
  38172-  39775 MAP_123      AP-H201-X201    23757        1 [  -259.056858,   100.013680 ] [  -185.600671,   288.026503 ]         58.9         58.2        0
  39788-  40745 MAP_123      AP-H201-X201    23757        1 [  -326.563425,   -19.732089 ] [  -116.008557,   323.225200 ]         59.1         62.8        0
  40758-  42357 MAP_123      AP-H201-X201    23758        1 [  -329.776882,   143.033762 ] [  -325.461089,    26.427525 ]        147.8        147.3        0
  42370-  43967 MAP_123      AP-H201-X201    23758        1 [  -253.882814,   217.051611 ] [  -215.187001,   138.281435 ]        147.7        149.2        0
  43980-  45621 MAP_123      AP-H201-X201    23758        1 [  -311.160585,   287.715710 ] [   -93.331646,   309.836663 ]        147.8        148.0        0
  45634-  46591 MAP_123      AP-H201-X201    23758        1 [  -116.891396,   324.694205 ] [    14.520458,   326.384845 ]        147.6        147.7        0
  46634-  48229 MAP_123      AP-H201-X201    23763        1 [   -23.956885,   329.558154 ] [  -331.946353,   144.477783 ]         59.0         57.6        0
  48242-  49841 MAP_123      AP-H201-X201    23763        1 [  -142.186617,   208.067762 ] [  -260.583854,   218.975339 ]         58.9         62.4        0
  49854-  51453 MAP_123      AP-H201-X201    23763        1 [  -256.976713,    99.752551 ] [  -186.037120,   281.313793 ]         59.0         58.0        0
  51466-  52423 MAP_123      AP-H201-X201    23763        1 [  -326.303707,   -18.602256 ] [  -114.250466,   322.985460 ]         59.1         57.0        0
  52436-  54035 MAP_123      AP-H201-X201    23764        1 [  -327.604842,   142.946825 ] [  -327.901515,    28.745009 ]        147.8        146.4        0
  54048-  55639 MAP_123      AP-H201-X201    23764        1 [  -253.274892,   213.579949 ] [  -214.855054,   139.443250 ]        147.9        146.6        0
  55652-  57249 MAP_123      AP-H201-X201    23764        1 [  -187.141522,   284.076754 ] [   -97.013800,   258.655323 ]        147.9        144.9        0
  57262-  58221 MAP_123      AP-H201-X201    23764        1 [  -111.244175,   330.077710 ] [    15.780628,   326.022162 ]        147.8        143.8        0
  58264-  59861 MAP_124      AP-H201-X201    23769        1 [   -25.842362,   330.631675 ] [  -325.664930,   142.491262 ]         59.0         60.9        0
  59874-  61473 MAP_124      AP-H201-X201    23769        1 [  -143.957483,   213.255902 ] [  -261.408559,   213.577139 ]         58.8         62.2        0
  61486-  63081 MAP_124      AP-H201-X201    23769        1 [  -254.389235,    96.882639 ] [  -187.396629,   283.765529 ]         59.1         58.9        0
  63094-  64049 MAP_124      AP-H201-X201    23769        1 [  -327.386185,   -19.531211 ] [  -124.019304,   320.986645 ]         58.7         56.3        0
  64062-  65663 MAP_124      AP-H201-X201    23770        1 [  -327.386498,   142.621782 ] [  -326.328824,    30.022638 ]        147.8        141.4        0
  65676-  67283 MAP_124      AP-H201-X201    23770        1 [  -259.885165,   218.760861 ] [  -216.989107,   141.360183 ]        147.8        147.3        0
  67296-  68891 MAP_124      AP-H201-X201    23770        1 [  -184.938602,   281.904233 ] [   -97.359021,   260.092777 ]        147.8        149.8        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-05-12.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-   1645 MAP_124      AP-H201-X201    24007        1 [   -26.450157,   328.282256 ] [  -326.378001,   148.122070 ]         59.0         59.0        0
   1658-   3255 MAP_124      AP-H201-X201    24007        1 [  -143.350173,   208.299361 ] [  -257.628049,   208.063127 ]         59.1         56.2        0
   3268-   4861 MAP_124      AP-H201-X201    24007        1 [  -254.131246,    99.230966 ] [  -188.109701,   286.033835 ]         59.0         62.7        0
   4874-   5831 MAP_124      AP-H201-X201    24007        1 [  -328.600420,   -17.531432 ] [  -120.835070,   326.832604 ]         59.0         59.8        0
   5844-   7441 MAP_124      AP-H201-X201    24008        1 [  -328.428779,   141.756736 ] [  -327.416873,    25.117197 ]        147.7        148.6        0
   7454-   9053 MAP_124      AP-H201-X201    24008        1 [  -258.226534,   213.203386 ] [  -215.194133,   140.960617 ]        147.8        148.9        0
   9066-  10665 MAP_124      AP-H201-X201    24008        1 [  -192.677060,   283.555109 ] [   -97.912266,   259.816154 ]        147.7        151.1        0
  10678-  11633 MAP_124      AP-H201-X201    24008        1 [  -112.219979,   329.758633 ] [    16.738604,   326.709661 ]        147.8        148.3        0
  11676-  13279 MAP_055      AP-H201-X201    24013        1 [   -24.134071,   330.922681 ] [  -326.968370,   144.740899 ]         59.3         56.7        0
  13292-  14893 MAP_055      AP-H201-X201    24013        1 [  -142.209849,   209.960898 ] [  -257.505346,   212.826944 ]         59.1         60.1        0
  14906-  16505 MAP_055      AP-H201-X201    24013        1 [  -252.858950,    99.715968 ] [  -182.583623,   287.625712 ]         59.1         60.2        0
  16518-  17475 MAP_055      AP-H201-X201    24013        1 [  -326.206001,   -22.448238 ] [  -119.525951,   323.070296 ]         59.1         59.0        0
  17488-  19085 MAP_055      AP-H201-X201    24014        1 [  -327.149904,   141.701063 ] [  -326.894604,    29.407687 ]        147.7        148.0        0
  19098-  20693 MAP_055      AP-H201-X201    24014        1 [  -255.029717,   216.007649 ] [  -213.233426,   137.118407 ]        147.7        146.6        0
  20706-  22297 MAP_055      AP-H201-X201    24014        1 [  -184.916366,   281.248551 ] [   -97.654325,   255.488306 ]        147.7        146.4        0
  22310-  23269 MAP_055      AP-H201-X201    24014        1 [  -114.855842,   324.557359 ] [    15.465904,   325.602930 ]        147.7        148.4        0
  23282-  24877 MAP_055      AP-H201-X201    24016        1 [   -23.103083,   329.544635 ] [  -325.554521,   144.507306 ]         58.9         61.8        0
  24890-  26495 MAP_055      AP-H201-X201    24016        1 [  -141.866484,   212.370733 ] [  -256.988984,   213.896552 ]         59.2         57.6        0
  26508-  28103 MAP_055      AP-H201-X201    24016        1 [  -253.458683,    98.769136 ] [  -183.493404,   286.752814 ]         58.9         61.6        0
  28116-  29073 MAP_055      AP-H201-X201    24016        1 [  -327.492320,   -16.941967 ] [  -122.070879,   322.099043 ]         59.0         56.9        0
  29150-  30751 MAP_055      AP-H201-X201    24053        1 [  -330.761246,   142.298539 ] [  -328.984642,    29.149506 ]        147.7        151.0        0
  30764-  32355 MAP_055      AP-H201-X201    24053        1 [  -255.796817,   212.656697 ] [  -212.803124,   141.089479 ]        147.7        153.0        0
  32368-  33969 MAP_055      AP-H201-X201    24053        1 [  -189.304137,   284.593428 ] [   -94.900393,   258.475831 ]        147.8        155.8        0
  33982-  34935 MAP_055      AP-H201-X201    24053        1 [  -114.081143,   329.026615 ] [    16.154387,   322.701465 ]        147.7        147.6        0
  34948-  36549 MAP_056      AP-H201-X201    24055        1 [   -23.709235,   329.115725 ] [  -325.782086,   145.066555 ]         58.9         56.4        0
  36562-  38157 MAP_056      AP-H201-X201    24055        1 [  -143.278640,   211.997797 ] [  -256.724776,   218.267070 ]         58.7         58.8        0
  38170-  39763 MAP_056      AP-H201-X201    24055        1 [  -255.926772,    99.058701 ] [  -183.511990,   283.377897 ]         59.1         55.7        0
  39776-  40733 MAP_056      AP-H201-X201    24055        1 [  -327.886988,   -19.092928 ] [  -115.487404,   319.486375 ]         59.1         55.1        0
  40746-  42345 MAP_056      AP-H201-X201    24056        1 [  -331.331252,   140.739475 ] [  -329.519566,    27.323662 ]        147.6        143.9        0
  42358-  43953 MAP_056      AP-H201-X201    24056        1 [  -257.072859,   215.639683 ] [  -216.091980,   137.677656 ]        147.9        147.4        0
  43966-  45561 MAP_056      AP-H201-X201    24056        1 [  -185.081619,   283.698511 ] [   -98.152378,   258.924454 ]        147.7        146.5        0
  45574-  46527 MAP_056      AP-H201-X201    24056        1 [  -115.636869,   324.640994 ] [    18.348791,   324.871296 ]        147.8        144.8        0
  46570-  48165 MAP_056      AP-H201-X201    24062        1 [   -25.687019,   326.961118 ] [  -328.118011,   142.005264 ]         58.9         57.9        0
  48178-  49775 MAP_056      AP-H201-X201    24062        1 [  -143.364317,   211.912193 ] [  -255.544519,   208.480775 ]         59.2         60.4        0
  49788-  51381 MAP_056      AP-H201-X201    24062        1 [  -254.122073,    99.920127 ] [  -185.343847,   285.418758 ]         59.3         58.5        0
  51394-  52353 MAP_056      AP-H201-X201    24062        1 [  -329.261024,   -22.452607 ] [  -120.097781,   324.957357 ]         58.9         57.1        0
  52366-  53967 MAP_056      AP-H201-X201    24063        1 [  -331.761746,   140.223869 ] [  -328.917143,    30.680016 ]        147.7        151.8        0
  53980-  55577 MAP_056      AP-H201-X201    24063        1 [  -253.198485,   217.274182 ] [  -214.960901,   141.857732 ]        147.8        151.0        0
  55590-  57185 MAP_056      AP-H201-X201    24063        1 [  -189.387556,   279.826490 ] [   -93.394468,   255.580393 ]        147.8        151.1        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-05-04.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-    841 MAP_116      AP-H201-X201    20950        1 [   -14.371170,   327.715347 ] [  -324.327944,   142.709463 ]         59.4         58.7        0
    854-   1647 MAP_116      AP-H201-X201    20950        1 [  -143.943687,   205.851227 ] [  -250.334456,   213.051532 ]         58.9         57.3        0
   1660-   2453 MAP_116      AP-H201-X201    20950        1 [  -254.147382,    98.494260 ] [  -183.219651,   285.520522 ]         59.1         59.1        0
   2466-   2939 MAP_116      AP-H201-X201    20950        1 [  -327.073808,   -22.411747 ] [  -107.763136,   320.553246 ]         59.1         60.1        0
   2952-   3743 MAP_116      AP-H201-X201    20951        1 [  -328.554796,   136.609837 ] [  -325.379110,    18.272289 ]        147.3        148.1        0
   3756-   4543 MAP_116      AP-H201-X201    20951        1 [  -241.088031,   216.340893 ] [  -212.185117,   138.123674 ]        147.2        149.6        0
   4556-   5341 MAP_116      AP-H201-X201    20951        1 [  -176.487623,   281.653064 ] [   -92.087858,   247.979754 ]        147.2        149.8        0
   5354-   5825 MAP_116      AP-H201-X201    20951        1 [  -111.419202,   324.494278 ] [    16.299048,   317.436630 ]        147.9        148.0        0
   5838-   6629 MAP_115      AP-H201-X201    20953        1 [   -21.836272,   330.530007 ] [  -319.573420,   146.966054 ]         58.9         58.2        0
   6642-   7435 MAP_115      AP-H201-X201    20953        1 [  -135.509578,   204.801693 ] [  -265.847152,   201.872591 ]         58.9         60.5        0
   7448-   8237 MAP_115      AP-H201-X201    20953        1 [  -254.356482,    91.310127 ] [  -179.270418,   284.115582 ]         59.2         58.1        0
   8250-   8723 MAP_115      AP-H201-X201    20953        1 [  -326.900199,   -25.613701 ] [  -127.068649,   320.875660 ]         60.0         57.5        0
   8736-   9535 MAP_115      AP-H201-X201    20954        1 [  -330.905801,   138.032151 ] [  -324.509598,    26.561430 ]        147.2        149.1        0
   9548-  10341 MAP_115      AP-H201-X201    20954        1 [  -248.703175,   215.461895 ] [  -206.705227,   138.040363 ]        147.2        148.4        0
  10354-  11145 MAP_115      AP-H201-X201    20954        1 [  -177.791988,   273.000777 ] [   -94.691503,   250.281557 ]        146.4        147.2        0
  11158-  11627 MAP_115      AP-H201-X201    20954        1 [  -111.613462,   325.389652 ] [    25.750004,   313.425289 ]        146.5        148.4        0
  11670-  12473 MAP_115      AP-H201-X201    20960        1 [   -21.488172,   352.104821 ] [  -325.769768,   150.863360 ]         58.7         59.1        0
  12486-  13267 MAP_115      AP-H201-X201    20960        1 [  -140.119859,   208.803477 ] [  -259.472537,   204.921587 ]         58.6         59.0        0
  13280-  14059 MAP_115      AP-H201-X201    20960        1 [  -247.660053,    94.447855 ] [  -181.323573,   279.093344 ]         58.6         58.6        0
  14072-  14541 MAP_115      AP-H201-X201    20960        1 [  -322.118205,   -25.003767 ] [  -114.018206,   316.910735 ]         58.9         59.1        0
  14554-  15343 MAP_115      AP-H201-X201    20961        1 [  -340.331334,   134.809857 ] [  -320.440171,    23.764468 ]        147.4        150.9        0
  15356-  16135 MAP_115      AP-H201-X201    20961        1 [  -250.278243,   210.153381 ] [  -210.282880,   130.516227 ]        147.7        148.9        0
  16148-  16931 MAP_115      AP-H201-X201    20961        1 [  -181.355077,   277.086028 ] [   -91.531857,   253.023195 ]        148.1        149.4        0
  16944-  17419 MAP_115      AP-H201-X201    20961        1 [  -110.309229,   327.304447 ] [    18.637728,   322.633750 ]        147.6        146.9        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-07-19.apex
----------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     50-   1647 MAP_024      AP-H201-X201    43167        1 [   -22.983897,   329.954478 ] [  -326.958477,   144.990519 ]         59.4         57.9        0
   1660-   3259 MAP_024      AP-H201-X201    43167        1 [  -142.718756,   211.300045 ] [  -255.282472,   213.426966 ]         58.8         56.3        0
   3272-   4869 MAP_024      AP-H201-X201    43167        1 [  -253.159633,    99.273588 ] [  -186.212867,   287.076213 ]         58.9         62.9        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUL30/E-093.C-0144A-2014-2014-07-29.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1609 MAP_002      AP-H201-X201    46159        1 [  -327.557874,   140.898557 ] [  -326.781626,    28.401881 ]        147.7          0.0     1608
   1622-   3219 MAP_002      AP-H201-X201    46159        1 [  -256.088183,   213.783165 ] [  -212.487289,   139.948435 ]        147.9          0.0     3216
   3232-   4823 MAP_002      AP-H201-X201    46159        1 [  -185.699254,   278.492482 ] [   -97.725762,   258.263009 ]        147.7          0.0     4818
   4836-   5795 MAP_002      AP-H201-X201    46159        1 [  -114.319622,   331.191452 ] [    17.484506,   325.980236 ]        147.9        149.0     5788
   5842-   7437 MAP_003      AP-H201-X201    46216        1 [   -25.205064,   333.656707 ] [  -323.668804,   142.889124 ]         59.2         59.7        0
   7450-   9047 MAP_003      AP-H201-X201    46216        1 [  -141.500247,   213.171954 ] [  -261.311909,   217.730921 ]         59.0         59.0        0
   9060-  10655 MAP_003      AP-H201-X201    46216        1 [  -255.942236,   100.767608 ] [  -187.521278,   282.774130 ]         59.1         57.3        0
  10668-  11621 MAP_003      AP-H201-X201    46216        1 [  -325.955432,   -20.317949 ] [  -115.230555,   324.568740 ]         59.2         60.8        0
  11634-  13233 MAP_003      AP-H201-X201    46217        1 [  -326.211812,   137.998245 ] [  -327.172691,    26.793663 ]        147.7        147.2        0
  13246-  14841 MAP_003      AP-H201-X201    46217        1 [  -253.369357,   219.670113 ] [  -213.818872,   141.911724 ]        147.7        147.4        0
  14854-  16449 MAP_003      AP-H201-X201    46217        1 [  -190.415634,   280.592413 ] [   -98.534847,   256.058528 ]        147.7        150.1        0
  16462-  17415 MAP_003      AP-H201-X201    46217        1 [  -113.429831,   327.174780 ] [    15.661138,   324.814627 ]        147.7        149.3        0
  17458-  19057 MAP_004      AP-H201-X201    46224        1 [   -24.901972,   331.776970 ] [  -327.410798,   143.185809 ]         59.3         58.7        0
  19070-  20663 MAP_004      AP-H201-X201    46224        1 [  -142.856503,   211.270510 ] [  -255.685616,   213.816807 ]         59.3         53.5        0
  20676-  22271 MAP_004      AP-H201-X201    46224        1 [  -256.883425,    98.677487 ] [  -183.665381,   288.670899 ]         58.9         59.3        0
  22284-  23245 MAP_004      AP-H201-X201    46224        1 [  -327.477505,   -19.145228 ] [  -116.071097,   323.365528 ]         59.0         60.0        0
  23258-  24849 MAP_004      AP-H201-X201    46225        1 [  -326.526494,   142.592907 ] [  -327.250972,    26.057627 ]        147.8        151.2        0
  24862-  26457 MAP_004      AP-H201-X201    46225        1 [  -259.589309,   212.166220 ] [  -212.397243,   141.237156 ]        147.8        149.4        0
  26470-  28061 MAP_004      AP-H201-X201    46225        1 [  -188.532019,   279.179428 ] [   -96.559978,   258.310025 ]        147.8        142.1        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-07-14.apex
----------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1611 MAP_024      AP-H201-X201    40871        1 [  -330.633836,   137.823987 ] [  -323.915628,    26.423902 ]        147.7          0.0     1610
   1624-   3225 MAP_024      AP-H201-X201    40871        1 [  -253.776415,   212.112192 ] [  -213.309593,   141.240745 ]        147.8          0.0     3222
   3238-   4843 MAP_024      AP-H201-X201    40871        1 [  -187.526884,   283.231830 ] [   -94.976566,   257.084169 ]        147.8          0.0     4838
   4856-   5817 MAP_024      AP-H201-X201    40871        1 [  -117.601814,   328.653535 ] [    16.705225,   331.255925 ]        147.9        151.6     5810
   5928-   7523 MAP_025      AP-H201-X201    41343        1 [   -26.896757,   327.943153 ] [  -326.361409,   147.185840 ]         59.3         58.9        0
   7536-   9131 MAP_025      AP-H201-X201    41343        1 [  -141.268672,   208.508101 ] [  -259.006864,   213.845766 ]         59.0         62.5        0
   9144-  10741 MAP_025      AP-H201-X201    41343        1 [  -256.376380,    97.091805 ] [  -185.837109,   286.480729 ]         59.0         61.2        0
  10754-  11707 MAP_025      AP-H201-X201    41343        1 [  -326.550074,   -18.613768 ] [  -114.308636,   323.455959 ]         59.1         56.4        0
  11720-  13323 MAP_025      AP-H201-X201    41344        1 [  -326.202375,   142.166807 ] [  -328.064175,    30.254367 ]        147.8        151.2        0
  13336-  14925 MAP_025      AP-H201-X201    41344        1 [  -255.879275,   213.134879 ] [  -214.777974,   141.684122 ]        147.8        145.2        0
  14938-  16541 MAP_025      AP-H201-X201    41344        1 [  -188.273994,   283.355158 ] [   -94.514748,   261.117505 ]        147.8        146.8        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014AUG09/E-093.C-0144A-2014-2014-08-08.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1639 MAP_026      AP-H201-X201    49711        1 [   -23.639108,   329.121969 ] [  -324.260998,   145.056998 ]         59.0         59.3        0
   1652-   3257 MAP_026      AP-H201-X201    49711        1 [  -140.895015,   212.520210 ] [  -262.592586,   214.470856 ]         59.1         59.1        0
   3270-   4863 MAP_026      AP-H201-X201    49711        1 [  -255.939402,    98.826555 ] [  -189.803955,   281.653280 ]         59.0         58.7        0
   4876-   5833 MAP_026      AP-H201-X201    49711        1 [  -326.616108,   -18.900377 ] [  -115.042070,   323.933517 ]         59.0         58.7        0
   5846-   7439 MAP_026      AP-H201-X201    49712        1 [  -326.614379,   139.004448 ] [  -327.383760,    26.539561 ]        147.6        149.5        0
   7452-   9049 MAP_026      AP-H201-X201    49712        1 [  -255.282544,   210.387502 ] [  -212.634533,   142.155533 ]        148.0        146.4        0
   9062-  10663 MAP_026      AP-H201-X201    49712        1 [  -187.684142,   284.054542 ] [   -96.594406,   259.972210 ]        147.8        148.2        0
  10676-  11633 MAP_026      AP-H201-X201    49712        1 [  -116.073798,   328.773213 ] [    18.824861,   325.605547 ]        147.9        144.2        0
  11648-  13237 MAP_027      AP-H201-X201    49716        1 [   -25.994921,   327.531556 ] [  -328.604022,   141.353292 ]         59.4         58.8        0
  13250-  14845 MAP_027      AP-H201-X201    49716        1 [  -143.622138,   212.466086 ] [  -263.204277,   210.269217 ]         58.9         56.3        0
  14858-  16455 MAP_027      AP-H201-X201    49716        1 [  -253.934465,    98.745003 ] [  -183.924222,   287.858800 ]         59.1         58.3        0
  16468-  17427 MAP_027      AP-H201-X201    49716        1 [  -326.735594,   -21.175447 ] [  -117.725346,   324.950825 ]         58.9         57.5        0
  17440-  19041 MAP_027      AP-H201-X201    49717        1 [  -330.982496,   151.110928 ] [  -324.042821,    27.937994 ]        147.8        146.2        0
  19054-  20653 MAP_027      AP-H201-X201    49717        1 [  -258.020844,   213.972335 ] [  -215.938685,   139.380050 ]        147.9        152.0        0
  20666-  22263 MAP_027      AP-H201-X201    49717        1 [  -192.733586,   279.206370 ] [   -91.397022,   256.428319 ]        147.7        148.0        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-07-12.apex
----------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
    166-   1763 MAP_029      AP-H201-X201    40482        1 [   -22.947606,   330.676698 ] [  -328.714599,   146.117420 ]         59.2         60.7        0
   1776-   3369 MAP_029      AP-H201-X201    40482        1 [  -140.576755,   213.527217 ] [  -261.415379,   214.277244 ]         58.9         57.8        0
   3382-   4983 MAP_029      AP-H201-X201    40482        1 [  -257.465966,    96.683570 ] [  -188.091932,   287.828136 ]         59.4         59.3        0
   4996-   5953 MAP_029      AP-H201-X201    40482        1 [  -326.302098,   -21.155772 ] [  -116.317572,   325.454965 ]         59.1         58.9        0
   5966-   7561 MAP_029      AP-H201-X201    40483        1 [  -329.425365,   142.631543 ] [  -323.649330,    29.468724 ]        147.8        144.0        0
   7574-   9185 MAP_029      AP-H201-X201    40483        1 [  -253.490452,   225.169838 ] [  -213.756368,   141.224273 ]        147.9        145.7        0
   9198-  10793 MAP_029      AP-H201-X201    40483        1 [  -185.064583,   280.184947 ] [   -97.802289,   258.475398 ]        147.9        146.8        0
  10806-  11759 MAP_029      AP-H201-X201    40483        1 [  -113.384916,   327.461416 ] [    16.461310,   325.405788 ]        147.8        146.1        0
  11802-  13397 MAP_028      AP-H201-X201    40488        1 [   -24.137712,   328.019440 ] [  -326.122630,   143.859272 ]         59.2         57.9        0
  13410-  15005 MAP_028      AP-H201-X201    40488        1 [  -141.193093,   204.679086 ] [  -266.974558,   212.984201 ]         59.1         59.7        0
  15018-  16617 MAP_028      AP-H201-X201    40488        1 [  -255.171246,   101.515294 ] [  -187.085933,   283.381595 ]         59.2         58.1        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-05-09.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-   1647 MAP_118      AP-H201-X201    22982        1 [   -24.524712,   330.908586 ] [  -329.191508,   143.089447 ]         58.9         60.0        0
   1660-   3253 MAP_118      AP-H201-X201    22982        1 [  -144.147925,   209.234956 ] [  -258.240869,   214.759293 ]         59.1         57.4        0
   3266-   4867 MAP_118      AP-H201-X201    22982        1 [  -253.379514,   100.765495 ] [  -187.284071,   286.834864 ]         58.8         58.8        0
   4880-   5837 MAP_118      AP-H201-X201    22982        1 [  -326.760351,   -22.904529 ] [  -119.720523,   325.426799 ]         58.6         61.8        0
   5850-   7445 MAP_118      AP-H201-X201    22983        1 [  -326.150436,   140.054858 ] [  -327.580950,    26.446891 ]        147.7        150.3        0
   7458-   9059 MAP_118      AP-H201-X201    22983        1 [  -258.089687,   218.585714 ] [  -215.862278,   141.577243 ]        147.7        148.9        0
   9072-  10663 MAP_118      AP-H201-X201    22983        1 [  -190.075427,   284.533901 ] [   -93.711846,   258.367319 ]        147.8        147.2        0
  10676-  11633 MAP_118      AP-H201-X201    22983        1 [  -115.577558,   329.946698 ] [    17.097044,   326.557878 ]        147.8        149.5        0
  11646-  13245 MAP_119      AP-H201-X201    22985        1 [   -26.360786,   330.966072 ] [  -329.040062,   149.664662 ]         59.0         57.6        0
  13258-  14855 MAP_119      AP-H201-X201    22985        1 [  -141.424920,   213.685987 ] [  -261.187597,   211.941656 ]         59.0         57.3        0
  14868-  16465 MAP_119      AP-H201-X201    22985        1 [  -253.746760,    99.154456 ] [  -182.491536,   285.363457 ]         59.0         59.1        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUL29/E-093.C-0144A-2014-2014-07-28.apex
-----------------------------------------------------------------------------------------------
